,날짜,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,환율,환율 차분
184,2020-05-01,2029.5999755859373,0.0421244606194198,-29413,9418,-2253,36.3,1237.97998046875,0.014405076780564614
185,2020-06-01,2108.330078125,0.0387909457460125,-11992,13420,-8538,36.2,1198.489990234375,-0.03189873088207975
186,2020-07-01,2249.3701171875,0.0668965645018597,-2613,5930,-23924,36.2,1189.56005859375,-0.007450985584684504
187,2020-08-01,2326.169921875,0.0341428047348324,-11994,14539,-19554,35.3,1179.5899658203125,-0.008381327787033925
188,2020-09-01,2327.889892578125,0.0007394002849708,-8628,26895,-25854,35.7,1166.4100341796875,-0.011173316171318386
189,2020-10-01,2267.14990234375,-0.0260922951845913,-1643,-11256,-869,35.7,1129.52001953125,-0.03162696956253595
190,2020-11-01,2591.340087890625,0.1429945965247959,29375,13950,-4255,35.9,1104.3299560546875,-0.022301564417615508
191,2020-12-01,2873.469970703125,0.1088741242922523,-3165,-14288,1535,36.5,1092.6199951171875,-0.010603679519239729
192,2021-01-01,2976.2099609375,0.0357546768478095,1343,-5094,-21415,36.5,1112.2900390625,0.01800263955740881
193,2021-02-01,3012.949951171875,0.0123445559004855,-7847,8800,-6043,36.6,1119.1300048828125,0.006149444461516175
194,2021-03-01,3061.419921875,0.016087214022348,-14133,13185,-10075,35.9,1132.3199462890625,0.01178588845683854
195,2021-04-01,3147.860107421875,0.0282353247031638,6872,8212,-39874,35.7,1106.6300048828125,-0.022687882069412725
196,2021-05-01,3203.919921875,0.0178088646064511,-17386,3085,5514,34.8,1112.8499755859375,0.0056206416559107025
197,2021-06-01,3296.679931640625,0.0289520375126416,1814,10226,-4485,34.7,1130.510009765625,0.015869195818950476
198,2021-07-01,3202.320068359375,-0.0286226947225328,-30272,-15393,-12804,34.1,1142.1199951171875,0.010269688239177517
199,2021-08-01,3199.27001953125,-0.000952449712401,-21081,-7478,-2243,32.7,1165.510009765625,0.020479472164426613
200,2021-09-01,3068.820068359375,-0.0407749112689738,5979,9336,-25383,32.6,1187.4300537109375,0.018807254988501085
201,2021-10-01,2970.679931640625,-0.0319797624274585,-16287,-7809,-6490,32.5,1167.3699951171875,-0.016893675994690067
202,2021-11-01,2839.010009765625,-0.0443231599852234,11342,16641,-11868,33.0,1190.739990234375,0.02001935565839302
203,2021-12-01,2977.64990234375,0.0488338864960784,15250,-30452,8397,33.5,1183.6700439453125,-0.005937439194992446
204,2022-01-01,2663.340087890625,-0.1055563362924994,-389,12674,-16297,32.7,1203.4599609375,0.01671911618733322
205,2022-02-01,2699.179931640625,0.0134567282311983,-6207,-10135,-980,32.4,1197.5899658203125,-0.00487759901261256
206,2022-03-01,2757.64990234375,0.0216621241206345,-23373,-3604,1769,31.6,1210.439941,0.010729862095066696
